"last_season","oppid","opponent","winp_total","w_total","l_total","winp_home","w_home","l_home","winp_away","w_away","l_away","tp_avg","fg_avg","fg3_avg","ft_avg","oreb_avg","dreb_avg","ast_avg","blk_avg","stl_avg"
2014,741,"Alabama",100.0,1,0,"",0,0,100.0,1,0,74.0,22.0,6.0,24.0,3.0,24.0,15.0,1.0,10.0
2014,131,"Arizona",0.0,0,1,"",0,0,0.0,0,1,66.0,25.0,4.0,12.0,7.0,16.0,11.0,2.0,5.0
2014,31,"Davidson",100.0,1,0,100.0,1,0,"",0,0,111.0,38.0,13.0,22.0,3.0,24.0,16.0,6.0,7.0
2014,165,"East Carolina",100.0,1,0,100.0,1,0,"",0,0,83.0,27.0,5.0,24.0,9.0,24.0,17.0,8.0,9.0
2014,214,"Eastern Michigan",100.0,1,0,100.0,1,0,"",0,0,82.0,24.0,10.0,24.0,18.0,26.0,19.0,5.0,9.0
2014,1029,"Florida Atlantic",100.0,1,0,100.0,1,0,"",0,0,97.0,34.0,12.0,17.0,7.0,30.0,19.0,3.0,8.0
2014,711,"Gardner-Webb",100.0,1,0,100.0,1,0,"",0,0,85.0,28.0,9.0,20.0,15.0,21.0,18.0,3.0,6.0
2014,64,"Maryland",100.0,1,0,100.0,1,0,"",0,0,69.0,18.0,5.0,28.0,11.0,22.0,6.0,3.0,10.0
2014,67,"Mercer",0.0,0,1,"",0,0,0.0,0,1,71.0,22.0,15.0,12.0,15.0,18.0,15.0,1.0,6.0
2014,128,"Michigan",100.0,1,0,100.0,1,0,"",0,0,79.0,28.0,8.0,15.0,7.0,23.0,15.0,3.0,4.0
2014,140,"UCLA",100.0,1,0,"",0,0,100.0,1,0,80.0,31.0,11.0,7.0,9.0,29.0,21.0,2.0,8.0
2014,1024,"UNC Asheville",100.0,1,0,100.0,1,0,"",0,0,91.0,31.0,10.0,19.0,12.0,29.0,21.0,4.0,7.0
2014,159,"Vermont",100.0,1,0,100.0,1,0,"",0,0,91.0,28.0,10.0,25.0,14.0,15.0,16.0,1.0,4.0
2015,2,"Army",100.0,1,0,100.0,1,0,"",0,0,93.0,31.0,4.0,27.0,16.0,25.0,20.0,4.0,9.0
2015,126,"Connecticut",100.0,1,0,"",0,0,100.0,1,0,66.0,18.0,5.0,25.0,12.0,25.0,10.0,5.0,7.0
2015,177,"Fairfield",100.0,1,0,100.0,1,0,"",0,0,109.0,40.0,9.0,20.0,12.0,26.0,22.0,4.0,12.0
