"last_season","oppid","opponent","winp_total","w_total","l_total","winp_home","w_home","l_home","winp_away","w_away","l_away","tp_avg","fg_avg","fg3_avg","ft_avg","oreb_avg","dreb_avg","ast_avg","blk_avg","stl_avg"
2014,741,"Alabama",100.0,1,0,"",0,0,100.0,1,0,64.0,23.0,2.0,16.0,9.0,22.0,12.0,6.0,8.0
2014,131,"Arizona",0.0,0,1,"",0,0,0.0,0,1,72.0,23.0,5.0,21.0,5.0,28.0,18.0,8.0,6.0
2014,31,"Davidson",100.0,1,0,100.0,1,0,"",0,0,77.0,26.0,3.0,22.0,13.0,17.0,4.0,0.0,2.0
2014,165,"East Carolina",100.0,1,0,100.0,1,0,"",0,0,74.0,25.0,5.0,19.0,12.0,23.0,12.0,4.0,6.0
2014,214,"Eastern Michigan",100.0,1,0,100.0,1,0,"",0,0,59.0,21.0,4.0,13.0,10.0,17.0,9.0,5.0,11.0
2014,1029,"Florida Atlantic",100.0,1,0,100.0,1,0,"",0,0,64.0,23.0,4.0,14.0,16.0,21.0,10.0,5.0,5.0
2014,711,"Gardner-Webb",100.0,1,0,100.0,1,0,"",0,0,66.0,27.0,5.0,7.0,5.0,16.0,13.0,2.0,5.0
2014,64,"Maryland",100.0,1,0,100.0,1,0,"",0,0,67.0,26.0,3.0,12.0,13.0,25.0,8.0,2.0,4.0
2014,67,"Mercer",0.0,0,1,"",0,0,0.0,0,1,78.0,25.0,5.0,23.0,2.0,22.0,16.0,0.0,3.0
2014,128,"Michigan",100.0,1,0,100.0,1,0,"",0,0,69.0,25.0,3.0,16.0,7.0,22.0,12.0,0.0,1.0
2014,140,"UCLA",100.0,1,0,"",0,0,100.0,1,0,63.0,24.0,8.0,7.0,4.0,25.0,12.0,2.0,9.0
2014,1024,"UNC Asheville",100.0,1,0,100.0,1,0,"",0,0,55.0,19.0,4.0,13.0,12.0,14.0,9.0,3.0,10.0
2014,159,"Vermont",100.0,1,0,100.0,1,0,"",0,0,90.0,35.0,4.0,16.0,6.0,18.0,21.0,1.0,4.0
2015,2,"Army",100.0,1,0,100.0,1,0,"",0,0,73.0,26.0,7.0,14.0,5.0,19.0,14.0,0.0,4.0
2015,126,"Connecticut",100.0,1,0,"",0,0,100.0,1,0,56.0,23.0,3.0,7.0,8.0,20.0,5.0,4.0,7.0
2015,177,"Fairfield",100.0,1,0,100.0,1,0,"",0,0,59.0,22.0,2.0,13.0,5.0,13.0,9.0,1.0,4.0
2015,286,"Gonzaga",100.0,1,0,"",0,0,100.0,1,0,52.0,22.0,2.0,6.0,6.0,25.0,8.0,3.0,1.0
2015,373,"Presbyterian",100.0,1,0,100.0,1,0,"",0,0,44.0,18.0,1.0,7.0,7.0,12.0,7.0,1.0,6.0
2015,730,"Robert Morris",100.0,1,0,"",0,0,100.0,1,0,56.0,24.0,6.0,2.0,9.0,16.0,13.0,1.0,6.0
2015,302,"San Diego State",100.0,1,0,"",0,0,100.0,1,0,49.0,19.0,2.0,9.0,11.0,19.0,5.0,5.0,6.0
2015,99,"St. Johns",100.0,1,0,"",0,0,100.0,1,0,68.0,27.0,4.0,10.0,9.0,20.0,13.0,4.0,10.0
2015,199,"Stanford",100.0,1,0,"",0,0,100.0,1,0,59.0,22.0,3.0,12.0,12.0,23.0,5.0,1.0,6.0
2015,105,"Temple",100.0,1,0,"",0,0,100.0,1,0,54.0,22.0,1.0,9.0,10.0,24.0,6.0,6.0,5.0
2015,403,"Toledo",100.0,1,0,100.0,1,0,"",0,0,69.0,29.0,5.0,6.0,7.0,18.0,10.0,1.0,4.0
2015,287,"Wisconsin",100.0,2,0,"",0,0,100.0,2,0,66.5,23.5,8.0,11.5,8.5,20.5,12.0,1.5,2.5
2015,123,"Wofford",100.0,1,0,100.0,1,0,"",0,0,55.0,21.0,5.0,8.0,10.0,19.0,9.0,1.0,4.0
2016,1030,"Bryant",100.0,1,0,100.0,1,0,"",0,0,51.0,19.0,7.0,6.0,8.0,16.0,11.0,2.0,1.0
2016,447,"Buffalo",100.0,1,0,100.0,1,0,"",0,0,59.0,22.0,5.0,10.0,13.0,26.0,8.0,6.0,5.0
2016,186,"Georgetown",100.0,1,0,"",0,0,100.0,1,0,84.0,28.0,9.0,19.0,6.0,18.0,16.0,4.0,2.0
2016,720,"Georgia Southern",100.0,1,0,100.0,1,0,"",0,0,59.0,25.0,9.0,0.0,7.0,11.0,15.0,2.0,4.0
2016,52,"Kentucky",0.0,0,1,"",0,0,0.0,0,1,74.0,30.0,3.0,11.0,16.0,20.0,15.0,7.0,9.0
2016,149,"Long Beach State",100.0,1,0,100.0,1,0,"",0,0,81.0,31.0,9.0,10.0,13.0,26.0,17.0,4.0,4.0
2016,285,"Oregon",0.0,0,1,"",0,0,0.0,0,1,82.0,32.0,10.0,8.0,10.0,28.0,22.0,5.0,3.0
2016,943,"Siena",100.0,1,0,100.0,1,0,"",0,0,74.0,27.0,7.0,13.0,11.0,28.0,11.0,2.0,7.0
