"last_season","oppid","opponent","winp_total","w_total","l_total","winp_home","w_home","l_home","winp_away","w_away","l_away","tp_avg","fg_avg","fg3_avg","ft_avg","oreb_avg","dreb_avg","ast_avg","blk_avg","stl_avg"
2009,1025,"Binghamton",100.0,1,0,"",0,0,100.0,1,0,86.0,28.0,9.0,21.0,15.0,20.0,21.0,3.0,6.0
2009,32,"Duquesne",100.0,1,0,100.0,1,0,"",0,0,95.0,35.0,10.0,15.0,10.0,22.0,21.0,8.0,14.0
2009,237,"Loyola",100.0,1,0,100.0,1,0,"",0,0,92.0,36.0,1.0,19.0,16.0,30.0,20.0,5.0,16.0
2009,314,"Montana",100.0,1,0,100.0,1,0,"",0,0,78.0,29.0,4.0,16.0,17.0,23.0,10.0,3.0,14.0
2009,146,"Southern Illinois",100.0,1,0,"",0,0,100.0,1,0,83.0,18.0,7.0,40.0,7.0,33.0,13.0,5.0,7.0
2009,116,"Villanova",0.0,0,1,"",0,0,0.0,0,1,54.0,16.0,5.0,17.0,7.0,25.0,7.0,2.0,8.0
2009,216,"Xavier",100.0,1,0,"",0,0,100.0,1,0,82.0,31.0,9.0,11.0,9.0,22.0,14.0,7.0,9.0
2010,281,"Arizona State",100.0,1,0,"",0,0,100.0,1,0,64.0,23.0,4.0,14.0,10.0,20.0,13.0,5.0,2.0
2010,567,"Arkansas-Pine Bluff",100.0,1,0,"",0,0,100.0,1,0,73.0,24.0,6.0,19.0,10.0,27.0,12.0,4.0,5.0
2010,286,"Baylor",100.0,1,0,"",0,0,100.0,1,0,78.0,22.0,11.0,23.0,22.0,19.0,15.0,0.0,7.0
2010,221,"California",100.0,1,0,"",0,0,100.0,1,0,68.0,27.0,3.0,11.0,11.0,23.0,11.0,5.0,4.0
2010,222,"Charlotte",100.0,1,0,100.0,1,0,"",0,0,101.0,37.0,12.0,15.0,15.0,30.0,21.0,4.0,7.0
2010,1026,"Coastal Carolina",100.0,1,0,100.0,1,0,"",0,0,74.0,24.0,6.0,20.0,12.0,25.0,14.0,5.0,4.0
2010,260,"Iowa State",100.0,1,0,"",0,0,100.0,1,0,86.0,29.0,9.0,19.0,16.0,19.0,14.0,4.0,10.0
