"last_season","oppid","opponent","winp_total","w_total","l_total","winp_home","w_home","l_home","winp_away","w_away","l_away","tp_avg","fg_avg","fg3_avg","ft_avg","oreb_avg","dreb_avg","ast_avg","blk_avg","stl_avg"
2009,1025,"Binghamton",100.0,1,0,"",0,0,100.0,1,0,62.0,27.0,7.0,1.0,5.0,13.0,9.0,4.0,9.0
2009,32,"Duquesne",100.0,1,0,100.0,1,0,"",0,0,72.0,27.0,3.0,15.0,18.0,17.0,9.0,2.0,9.0
2009,237,"Loyola",100.0,1,0,100.0,1,0,"",0,0,51.0,19.0,3.0,10.0,14.0,16.0,6.0,1.0,9.0
2009,314,"Montana",100.0,1,0,100.0,1,0,"",0,0,58.0,23.0,6.0,6.0,6.0,20.0,13.0,3.0,4.0
2009,146,"Southern Illinois",100.0,1,0,"",0,0,100.0,1,0,58.0,20.0,6.0,12.0,6.0,16.0,16.0,2.0,4.0
2009,112,"Villanova",0.0,0,1,"",0,0,0.0,0,1,77.0,27.0,4.0,19.0,12.0,34.0,9.0,5.0,5.0
2009,216,"Xavier",100.0,1,0,"",0,0,100.0,1,0,64.0,25.0,6.0,8.0,9.0,18.0,8.0,2.0,4.0
2010,281,"Arizona State",100.0,1,0,"",0,0,100.0,1,0,53.0,18.0,2.0,15.0,8.0,17.0,6.0,1.0,7.0
2010,567,"Arkansas-Pine Bluff",100.0,1,0,"",0,0,100.0,1,0,41.0,17.0,4.0,6.0,8.0,14.0,8.0,4.0,7.0
2010,286,"Baylor",100.0,1,0,"",0,0,100.0,1,0,71.0,27.0,5.0,12.0,16.0,19.0,14.0,8.0,8.0
2010,221,"California",100.0,1,0,"",0,0,100.0,1,0,53.0,19.0,3.0,12.0,8.0,21.0,6.0,1.0,3.0
2010,222,"Charlotte",100.0,1,0,100.0,1,0,"",0,0,59.0,20.0,5.0,14.0,10.0,22.0,6.0,0.0,4.0
2010,1026,"Coastal Carolina",100.0,1,0,100.0,1,0,"",0,0,49.0,16.0,6.0,11.0,13.0,17.0,8.0,1.0,5.0
2010,260,"Iowa State",100.0,1,0,"",0,0,100.0,1,0,65.0,26.0,2.0,11.0,10.0,18.0,10.0,8.0,2.0
2010,81,"Pennsylvania",100.0,1,0,100.0,1,0,"",0,0,55.0,21.0,5.0,8.0,12.0,11.0,12.0,0.0,6.0
2010,171,"Purdue",100.0,2,0,"",0,0,100.0,2,0,58.5,21.0,3.0,13.5,5.0,19.0,11.5,5.5,6.5
