"season","opponent","tp","fg","fg3","ft","oreb","dreb","ast","blk","stl"
2015,"Presbyterian",49.33,17.0,3.0,12.33,6.67,14.67,5.67,2.0,6.0
2015,"Robert Morris",56.0,24.0,6.0,2.0,9.0,16.0,13.0,1.0,6.0
2015,"San Diego State",49.0,19.0,2.0,9.0,11.0,19.0,5.0,5.0,6.0
2015,"St. Johns",68.0,27.0,4.0,10.0,9.0,20.0,13.0,4.0,10.0
2015,"Stanford",59.0,22.0,3.0,12.0,12.0,23.0,5.0,1.0,6.0
2015,"Temple",64.8,25.2,5.0,9.4,12.6,20.8,13.2,5.0,7.0
2015,"Toledo",69.0,29.0,5.0,6.0,7.0,18.0,10.0,1.0,4.0
2015,"Wisconsin",66.0,24.25,6.75,10.75,10.0,21.75,13.0,2.5,3.75
2015,"Wofford",55.0,21.0,5.0,8.0,10.0,19.0,9.0,1.0,4.0
2016,"Bryant",51.0,19.0,7.0,6.0,8.0,16.0,11.0,2.0,1.0
2016,"Buffalo",59.0,22.0,5.0,10.0,13.0,26.0,8.0,6.0,5.0
2016,"Georgetown",80.0,29.0,6.67,15.33,4.67,18.67,17.0,6.0,6.33
2016,"Georgia Southern",56.5,21.5,7.0,6.5,11.0,13.5,10.5,4.0,4.5
2016,"Kentucky",71.0,27.5,3.5,12.5,12.5,19.0,14.0,5.5,6.5
2016,"Long Beach State",72.0,26.5,8.5,10.5,12.5,24.5,17.0,3.5,5.5
2016,"Oregon",76.5,28.0,7.5,13.0,9.5,24.0,17.5,6.0,9.0
2016,"Siena",74.0,27.0,7.0,13.0,11.0,28.0,11.0,2.0,7.0
2016,"UNC Wilmington",85.0,30.0,11.0,14.0,9.0,20.0,10.0,3.0,5.0
2016,"Utah",67.0,24.5,3.5,14.5,13.0,27.0,12.0,6.5,5.0
2016,"Utah State",52.0,19.0,3.0,11.0,9.0,14.0,6.0,1.0,8.0
2016,"VCU",64.5,25.0,4.0,10.5,11.0,20.5,9.0,0.5,5.5
2016,"Yale",62.5,25.0,4.0,8.5,15.0,20.0,14.5,4.0,5.0
2017,"Appalachian State",58.0,18.0,9.0,13.0,9.0,17.0,12.0,0.0,2.0
2017,"Clemson",63.5,23.07,4.0,13.43,10.93,21.79,9.79,4.0,7.43
2017,"Georgia Tech",62.36,23.71,4.57,10.36,11.0,21.64,10.43,3.5,4.43
2017,"Grand Canyon",61.0,26.0,3.0,6.0,8.0,19.0,11.0,2.0,7.0
2017,"Kansas",77.33,28.67,2.33,17.67,10.0,24.0,12.33,3.67,6.0
2017,"Louisville",71.29,26.71,4.29,13.57,11.14,22.71,11.29,5.14,6.14
2017,"Maine",55.0,21.0,9.0,4.0,10.0,9.0,12.0,0.0,5.0
2017,"Marist",49.0,15.0,3.0,16.0,5.0,23.0,8.0,0.0,5.0
2017,"North Carolina",75.68,28.64,3.73,14.68,13.45,24.14,13.73,4.18,4.82
2017,"Penn State",68.0,28.0,6.0,6.0,9.0,24.0,12.0,3.0,3.0
2017,"Rhode Island",72.0,27.0,6.5,11.5,9.5,20.0,10.0,5.0,3.5
2017,"South Carolina",88.0,27.0,7.0,27.0,12.0,21.0,16.0,2.0,8.0
2017,"Syracuse",69.83,25.5,5.5,13.33,12.83,21.0,12.33,4.0,6.83
2017,"Tennessee State",55.0,22.0,2.0,9.0,4.0,25.0,7.0,1.0,4.0
2017,"Troy",65.0,24.0,5.0,12.0,11.0,21.0,10.0,2.0,1.0
2017,"UNLV",45.0,16.0,6.0,7.0,8.0,17.0,6.0,1.0,7.0
2017,"Virginia Tech",62.0,22.87,3.93,12.33,9.6,21.4,9.27,3.67,3.13
2017,"William & Mary",67.0,23.0,7.0,14.0,3.0,20.0,17.0,3.0,4.0
2018,"Boston College",68.5,25.29,5.79,12.14,8.36,19.21,12.5,2.43,5.36
2018,"Elon",61.57,23.29,8.14,6.86,6.0,23.71,12.0,1.57,4.29
2018,"Evansville",40.0,15.0,5.0,5.0,2.0,15.0,11.0,2.0,1.0
2018,"Florida",79.0,28.0,7.0,16.0,11.0,20.0,10.5,5.0,6.5
2018,"Florida State",68.31,25.56,5.56,11.63,10.69,21.19,11.63,3.88,5.5
2018,"Furman",58.5,22.0,7.5,7.0,10.5,14.5,12.0,1.5,4.5
2018,"Indiana",77.5,28.5,6.0,14.5,8.0,15.5,12.5,4.0,4.5
2018,"Miami",73.07,26.8,6.47,13.0,9.33,23.2,11.73,2.8,6.13
2018,"Michigan State",70.14,26.71,6.0,10.71,9.71,23.29,13.71,4.29,4.43
2018,"N.C. State",76.0,28.17,5.11,14.56,9.78,20.83,13.39,3.5,4.22
2018,"Notre Dame",75.33,27.33,6.44,14.22,9.89,20.33,14.11,3.33,5.67
2018,"Pittsburgh",63.0,23.14,4.14,12.57,10.86,21.0,11.71,3.14,4.57
2018,"Portland State",81.0,30.0,12.0,9.0,12.0,19.0,21.0,1.0,6.0
2018,"Saint Francis (Pa.)",67.0,24.0,7.0,12.0,4.0,18.0,11.0,0.0,8.0
2018,"South Dakota",80.0,30.0,10.0,10.0,7.0,14.0,18.0,0.0,6.0
2018,"Southern",61.0,22.0,7.0,10.0,13.0,19.0,8.0,4.0,5.0
2018,"Texas",73.5,27.5,3.5,15.0,11.5,22.5,11.0,3.0,4.5
2018,"Utah Valley",69.0,25.0,6.0,13.0,12.0,21.0,13.0,0.0,5.0
2018,"Virginia",59.87,22.0,3.87,12.0,9.0,21.13,10.0,2.67,4.47
2018,"Wake Forest",72.68,26.21,4.79,15.26,10.21,22.05,11.79,3.21,5.11
