"season","opponent","tp","fg","fg3","ft","oreb","dreb","ast","blk","stl"
2015,"Gonzaga",71.0,24.0,7.0,16.0,7.5,27.5,13.0,4.5,7.5
2015,"Presbyterian",96.33,35.67,9.0,16.0,13.33,27.33,20.33,3.67,11.67
2015,"Robert Morris",85.0,34.0,10.0,7.0,9.0,30.0,28.0,3.0,7.0
2015,"San Diego State",68.0,30.0,6.0,2.0,4.0,27.0,16.0,6.0,7.0
2015,"St. Johns",77.0,26.0,7.0,18.0,13.0,24.0,14.0,1.0,5.0
2015,"Stanford",70.0,22.0,9.0,17.0,15.0,22.0,16.0,3.0,9.0
2015,"Temple",77.8,25.8,8.2,18.0,11.6,23.2,14.6,3.8,7.6
2015,"Toledo",86.0,29.0,6.0,22.0,10.0,22.0,18.0,2.0,6.0
2015,"Wisconsin",74.75,26.0,7.0,15.75,7.0,25.25,10.75,3.75,5.5
2015,"Wofford",84.0,29.0,8.0,18.0,7.0,27.0,13.0,2.0,10.0
2016,"Bryant",113.0,39.0,13.0,22.0,20.0,22.0,17.0,6.0,14.0
2016,"Buffalo",82.0,24.0,5.0,29.0,7.0,30.0,10.0,6.0,4.0
2016,"Georgetown",79.67,25.33,8.33,20.67,11.0,17.0,12.0,2.33,8.33
2016,"Georgia Southern",98.0,33.5,9.0,22.0,21.5,32.5,17.0,7.0,7.5
2016,"Kentucky",69.0,24.0,6.5,14.5,11.0,19.5,12.5,7.0,4.5
2016,"Long Beach State",93.5,32.0,13.0,16.5,12.5,22.0,19.0,7.5,5.5
2016,"Oregon",83.0,29.5,10.0,14.0,5.5,30.0,13.0,4.0,5.0
2016,"Siena",92.0,30.0,6.0,26.0,14.0,29.0,9.0,5.0,8.0
2016,"UNC Wilmington",93.0,29.0,4.0,31.0,12.0,28.0,11.0,8.0,4.0
2016,"Utah",69.0,21.5,5.5,20.5,9.5,20.5,7.5,4.5,6.5
2016,"Utah State",85.0,30.0,8.0,17.0,9.0,26.0,13.0,8.0,9.0
2016,"VCU",73.0,23.0,5.5,21.5,6.0,25.0,13.5,7.0,4.5
2016,"Yale",75.5,25.5,9.0,15.5,8.5,23.5,12.0,7.0,9.0
2017,"Appalachian State",93.0,32.0,8.0,21.0,12.0,28.0,14.0,5.0,7.0
2017,"Clemson",68.93,24.5,6.71,13.21,7.93,21.5,11.86,2.64,6.43
2017,"Georgia Tech",77.36,25.86,8.21,17.57,10.93,22.79,14.14,3.36,6.86
2017,"Grand Canyon",96.0,32.0,11.0,21.0,9.0,29.0,20.0,8.0,14.0
2017,"Kansas",75.33,25.0,8.67,16.67,6.0,17.33,12.0,3.0,4.0
2017,"Louisville",69.71,22.0,6.14,19.57,6.57,22.57,10.86,3.0,4.86
2017,"Maine",94.0,33.0,6.0,22.0,12.0,34.0,14.0,8.0,6.0
2017,"Marist",94.0,30.0,8.0,26.0,16.0,39.0,13.0,7.0,9.0
2017,"North Carolina",78.27,26.82,8.73,15.91,10.64,21.55,11.86,3.95,6.82
2017,"Penn State",78.0,27.0,9.0,15.0,9.0,26.0,12.0,4.0,3.0
2017,"Rhode Island",78.5,26.0,5.0,21.5,9.5,18.5,9.0,2.0,5.0
2017,"South Carolina",81.0,22.0,10.0,27.0,8.0,23.0,11.0,7.0,6.0
2017,"Syracuse",74.17,26.17,9.5,12.33,13.33,21.67,17.0,3.5,5.17
2017,"Tennessee State",65.0,19.0,8.0,19.0,13.0,27.0,12.0,3.0,7.0
2017,"Troy",87.0,29.0,13.0,16.0,13.0,20.0,15.0,8.0,13.0
2017,"UNLV",94.0,37.0,10.0,10.0,7.0,30.0,18.0,4.0,10.0
2017,"Virginia Tech",75.57,25.71,8.0,16.14,11.43,22.86,13.29,3.36,6.14
2017,"William & Mary",88.0,30.0,9.0,19.0,11.0,28.0,18.0,5.0,4.0
2018,"Boston College",79.79,27.57,7.36,17.29,11.5,21.07,13.86,4.43,7.64
2018,"Elon",87.0,32.0,9.14,13.86,13.14,28.0,15.57,4.29,10.0
2018,"Evansville",104.0,39.0,16.0,10.0,7.0,26.0,32.0,9.0,13.0
2018,"Florida",85.5,30.5,8.5,16.0,8.0,25.5,18.0,5.0,7.5
2018,"Florida State",74.56,24.31,8.63,16.94,11.81,21.25,12.06,3.5,6.56
2018,"Furman",92.5,38.5,8.0,7.5,13.5,25.0,21.0,6.0,7.0
2018,"Indiana",92.5,35.0,7.0,15.5,12.5,19.5,16.5,4.0,5.5
2018,"Miami",75.27,25.8,8.8,14.87,12.13,22.53,13.2,3.27,7.0
2018,"Michigan State",79.57,25.0,7.0,22.57,8.57,22.14,12.71,4.43,8.71
2018,"N.C. State",83.5,28.56,8.28,18.11,10.17,20.33,13.89,3.56,6.78
2018,"Notre Dame",80.11,28.33,8.44,15.0,10.33,23.11,12.78,3.67,5.67
2018,"Pittsburgh",75.0,25.86,10.57,12.71,9.57,20.43,15.71,4.0,6.0
2018,"Portland State",99.0,32.0,4.0,31.0,14.0,31.0,19.0,9.0,2.0
2018,"Saint Francis (Pa.)",124.0,48.0,15.0,13.0,16.0,44.0,34.0,4.0,3.0
2018,"South Dakota",96.0,35.0,7.0,19.0,15.0,32.0,17.0,6.0,4.0
2018,"Southern",78.0,25.0,4.0,24.0,15.0,32.0,14.0,10.0,3.0
2018,"Texas",79.5,26.5,5.0,21.5,13.0,25.5,15.0,2.5,8.0
2018,"Utah Valley",99.0,39.0,10.0,11.0,13.0,27.0,26.0,7.0,14.0
2018,"Virginia",68.6,25.4,7.4,10.4,8.13,23.6,12.53,3.33,5.6
2018,"Wake Forest",83.74,27.89,8.74,19.16,10.89,22.53,14.68,3.58,7.74
