"season","opponent","tp","fg","fg3","ft","oreb","dreb","ast","blk","stl"
2013,"Albany",73.0,27.0,4.0,15.0,5.0,22.0,17.0,3.0,9.0
2013,"Cornell",88.0,34.0,7.0,13.0,4.0,24.0,23.0,7.0,11.0
2013,"Creighton",66.0,19.0,7.0,21.0,6.0,30.0,9.0,4.0,7.0
2013,"Delaware",88.0,35.0,7.0,11.0,10.0,36.0,23.0,8.0,9.0
2013,"Florida Gulf Coasst",88.0,30.0,9.0,19.0,13.0,20.0,19.0,4.0,9.0
2013,"Georgia State",74.0,24.0,11.0,15.0,5.0,25.0,17.0,6.0,4.0
2013,"Minnesota",89.0,30.0,8.0,21.0,9.0,22.0,12.0,4.0,12.0
2013,"Ohio State",73.0,24.0,5.0,20.0,7.0,28.0,11.0,5.0,3.0
2013,"Santa Clara",90.0,31.0,7.0,21.0,13.0,23.0,15.0,2.0,6.0
2014,"Alabama",74.0,22.0,6.0,24.0,3.0,24.0,15.0,1.0,10.0
2014,"Arizona",66.0,25.0,4.0,12.0,7.0,16.0,11.0,2.0,5.0
2014,"Davidson",89.0,29.5,9.0,21.0,3.0,25.5,12.0,5.5,6.0
2014,"East Carolina",83.0,27.0,5.0,24.0,9.0,24.0,17.0,8.0,9.0
2014,"Eastern Michigan",82.0,24.0,10.0,24.0,18.0,26.0,19.0,5.0,9.0
2014,"Florida Atlantic",97.0,34.0,12.0,17.0,7.0,30.0,19.0,3.0,8.0
2014,"Gardner-Webb",85.0,28.0,9.0,20.0,15.0,21.0,18.0,3.0,6.0
2014,"Maryland",77.0,27.0,6.5,16.5,8.0,18.75,12.0,2.25,8.75
2014,"Mercer",71.0,22.0,15.0,12.0,15.0,18.0,15.0,1.0,6.0
2014,"Michigan",79.0,28.0,8.0,15.0,7.0,23.0,15.0,3.0,4.0
2014,"UCLA",80.0,31.0,11.0,7.0,9.0,29.0,21.0,2.0,8.0
2014,"UNC Asheville",91.0,31.0,10.0,19.0,12.0,29.0,21.0,4.0,7.0
2014,"Vermont",91.0,28.0,10.0,25.0,14.0,15.0,16.0,1.0,4.0
2015,"Army",93.0,31.0,4.0,27.0,16.0,25.0,20.0,4.0,9.0
2015,"Connecticut",66.0,18.0,5.0,25.0,12.0,25.0,10.0,5.0,7.0
2015,"Fairfield",109.0,40.0,9.0,20.0,12.0,26.0,22.0,4.0,12.0
2015,"Gonzaga",66.0,21.0,8.0,16.0,7.0,22.0,10.0,2.0,8.0
2015,"Presbyterian",113.0,42.0,16.0,13.0,16.0,29.0,30.0,4.0,12.0
2015,"Robert Morris",85.0,34.0,10.0,7.0,9.0,30.0,28.0,3.0,7.0
2015,"San Diego State",68.0,30.0,6.0,2.0,4.0,27.0,16.0,6.0,7.0
2015,"St. Johns",77.0,26.0,7.0,18.0,13.0,24.0,14.0,1.0,5.0
2015,"Stanford",70.0,22.0,9.0,17.0,15.0,22.0,16.0,3.0,9.0
2015,"Temple",82.0,26.5,9.5,19.5,11.5,25.0,16.5,3.5,7.5
2015,"Toledo",86.0,29.0,6.0,22.0,10.0,22.0,18.0,2.0,6.0
2015,"Wisconsin",74.0,27.0,5.5,14.5,4.5,26.0,9.0,3.5,5.0
2015,"Wofford",84.0,29.0,8.0,18.0,7.0,27.0,13.0,2.0,10.0
2016,"Bryant",113.0,39.0,13.0,22.0,20.0,22.0,17.0,6.0,14.0
2016,"Buffalo",82.0,24.0,5.0,29.0,7.0,30.0,10.0,6.0,4.0
2016,"Georgetown",86.0,25.0,8.0,28.0,12.0,16.0,11.0,1.0,6.0
2016,"Georgia Southern",99.0,35.0,10.0,19.0,21.0,31.0,17.0,7.0,4.0
2016,"Kentucky",69.0,24.0,6.5,14.5,11.0,19.5,12.5,7.0,4.5
2016,"Long Beach State",103.0,32.0,11.0,28.0,9.0,21.0,18.0,5.0,6.0
2016,"Oregon",68.0,26.0,7.0,9.0,4.0,27.0,12.0,3.0,4.0
2016,"Siena",92.0,30.0,6.0,26.0,14.0,29.0,9.0,5.0,8.0
2016,"UNC Wilmington",93.0,29.0,4.0,31.0,12.0,28.0,11.0,8.0,4.0
2016,"Utah",69.0,21.5,5.5,20.5,9.5,20.5,7.5,4.5,6.5
2016,"Utah State",85.0,30.0,8.0,17.0,9.0,26.0,13.0,8.0,9.0
2016,"VCU",73.0,23.0,5.5,21.5,6.0,25.0,13.5,7.0,4.5
2016,"Yale",75.5,25.5,9.0,15.5,8.5,23.5,12.0,7.0,9.0
2017,"Appalachian State",93.0,32.0,8.0,21.0,12.0,28.0,14.0,5.0,7.0
2017,"Clemson",67.71,25.0,7.57,10.14,6.86,22.86,12.71,1.57,5.86
2017,"Georgia Tech",80.33,27.83,10.17,14.5,10.67,25.33,15.17,3.83,6.33
2017,"Grand Canyon",96.0,32.0,11.0,21.0,9.0,29.0,20.0,8.0,14.0
2017,"Kansas",79.0,26.5,7.5,18.5,3.5,18.0,13.5,3.0,4.0
2017,"Louisville",69.71,22.0,6.14,19.57,6.57,22.57,10.86,3.0,4.86
2017,"Maine",94.0,33.0,6.0,22.0,12.0,34.0,14.0,8.0,6.0
2017,"Marist",94.0,30.0,8.0,26.0,16.0,39.0,13.0,7.0,9.0
2017,"North Carolina",80.45,27.18,8.45,17.64,9.55,21.64,10.91,4.0,6.64
2017,"Penn State",78.0,27.0,9.0,15.0,9.0,26.0,12.0,4.0,3.0
2017,"Rhode Island",75.0,27.0,6.0,15.0,9.0,24.0,9.0,0.0,3.0
2017,"South Carolina",81.0,22.0,10.0,27.0,8.0,23.0,11.0,7.0,6.0
2017,"Syracuse",74.17,26.17,9.5,12.33,13.33,21.67,17.0,3.5,5.17
2017,"Tennessee State",65.0,19.0,8.0,19.0,13.0,27.0,12.0,3.0,7.0
2017,"Troy",87.0,29.0,13.0,16.0,13.0,20.0,15.0,8.0,13.0
2017,"UNLV",94.0,37.0,10.0,10.0,7.0,30.0,18.0,4.0,10.0
2017,"Virginia Tech",81.17,29.0,9.67,13.5,11.83,23.17,15.5,4.67,5.83
2017,"William & Mary",88.0,30.0,9.0,19.0,11.0,28.0,18.0,5.0,4.0
2018,"Boston College",83.29,28.29,8.14,18.57,9.57,21.71,15.29,4.29,7.71
2018,"Elon",85.17,32.17,8.83,12.0,13.0,28.33,14.67,4.83,10.0
2018,"Evansville",104.0,39.0,16.0,10.0,7.0,26.0,32.0,9.0,13.0
2018,"Florida",85.5,30.5,8.5,16.0,8.0,25.5,18.0,5.0,7.5
2018,"Florida State",79.57,27.0,8.14,17.43,14.14,20.57,13.57,4.0,6.57
2018,"Furman",92.5,38.5,8.0,7.5,13.5,25.0,21.0,6.0,7.0
2018,"Indiana",92.5,35.0,7.0,15.5,12.5,19.5,16.5,4.0,5.5
2018,"Miami",69.38,25.25,7.0,11.88,10.88,24.38,11.63,3.38,6.0
2018,"Michigan State",79.8,26.6,6.4,20.2,9.0,22.4,13.6,4.4,7.6
