"season","opponent","tp","fg","fg3","ft","oreb","dreb","ast","blk","stl"
2017,"Appalachian State",93.0,32.0,8.0,21.0,12.0,28.0,14.0,5.0,7.0
2017,"Clemson",71.5,25.5,8.0,12.5,6.5,25.5,11.5,3.5,4.0
2017,"Georgia Tech",110.0,39.0,16.0,16.0,17.0,30.0,24.0,3.0,6.0
2017,"Grand Canyon",96.0,32.0,11.0,21.0,9.0,29.0,20.0,8.0,14.0
2017,"Kansas",75.0,23.0,8.0,21.0,3.0,19.0,12.0,5.0,3.0
2017,"Louisville",75.0,24.0,6.0,21.0,7.0,24.0,8.5,4.0,4.0
2017,"Maine",94.0,33.0,6.0,22.0,12.0,34.0,14.0,8.0,6.0
2017,"Marist",94.0,30.0,8.0,26.0,16.0,39.0,13.0,7.0,9.0
2017,"North Carolina",87.33,26.33,10.0,24.67,6.0,22.33,11.33,6.0,6.0
2017,"Penn State",78.0,27.0,9.0,15.0,9.0,26.0,12.0,4.0,3.0
2017,"Rhode Island",75.0,27.0,6.0,15.0,9.0,24.0,9.0,0.0,3.0
2017,"South Carolina",81.0,22.0,10.0,27.0,8.0,23.0,11.0,7.0,6.0
2017,"Syracuse",75.0,25.0,10.0,15.0,15.0,20.0,16.0,4.0,6.0
2017,"Tennessee State",65.0,19.0,8.0,19.0,13.0,27.0,12.0,3.0,7.0
2017,"Troy",87.0,29.0,13.0,16.0,13.0,20.0,15.0,8.0,13.0
2017,"UNLV",94.0,37.0,10.0,10.0,7.0,30.0,18.0,4.0,10.0
2017,"Virginia Tech",75.0,28.0,5.0,14.0,18.0,23.0,8.0,5.0,5.0
2017,"William & Mary",88.0,30.0,9.0,19.0,11.0,28.0,18.0,5.0,4.0
2018,"Boston College",88.5,31.5,8.0,17.5,8.0,21.0,16.5,3.5,11.5
2018,"Elon",84.5,32.0,8.5,12.0,13.0,28.0,14.0,5.5,8.5
2018,"Evansville",104.0,39.0,16.0,10.0,7.0,26.0,32.0,9.0,13.0
2018,"Florida",85.5,30.5,8.5,16.0,8.0,25.5,18.0,5.0,7.5
2018,"Florida State",82.33,29.67,7.33,15.67,14.67,23.33,12.0,4.33,5.33
2018,"Furman",92.0,39.0,5.0,9.0,14.0,24.0,18.0,8.0,9.0
2018,"Indiana",91.0,33.0,3.0,22.0,9.0,21.0,15.0,3.0,7.0
2018,"Miami",67.67,25.33,7.0,10.0,9.0,28.33,12.0,4.0,7.67
2018,"Michigan State",83.0,30.0,8.0,15.0,15.0,21.5,17.5,4.0,10.0
2018,"N.C. State",83.5,30.5,5.5,17.0,9.5,23.0,13.0,4.5,7.0
2018,"Notre Dame",82.33,30.33,7.33,14.33,9.33,26.33,12.33,4.67,4.67
2018,"Pittsburgh",80.0,29.33,11.67,9.67,12.0,20.0,18.67,6.0,7.33
2018,"Portland State",99.0,32.0,4.0,31.0,14.0,31.0,19.0,9.0,2.0
2018,"Saint Francis (Pa.)",124.0,48.0,15.0,13.0,16.0,44.0,34.0,4.0,3.0
2018,"South Dakota",96.0,35.0,7.0,19.0,15.0,32.0,17.0,6.0,4.0
2018,"Southern",78.0,25.0,4.0,24.0,15.0,32.0,14.0,10.0,3.0
2018,"Texas",85.0,30.0,3.0,22.0,14.0,32.0,21.0,3.0,8.0
2018,"Utah Valley",99.0,39.0,10.0,11.0,13.0,27.0,26.0,7.0,14.0
2018,"Virginia",64.0,23.0,6.5,11.5,7.5,27.5,11.5,3.5,3.0
2018,"Wake Forest",89.25,28.25,11.25,21.5,9.25,23.5,16.75,3.5,6.0
